epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.635,1.68493,1.4317,1.27627,0.72874,0.66618,0.74559,0.37911,1.69185,1.24381,1.33517,0.00333085,0.00333085,0.00333085
2,605.694,1.74323,1.3391,1.31536,0.76306,0.7056,0.79149,0.39781,1.70246,1.16536,1.34052,0.00633431,0.00633431,0.00633431
3,907.421,1.79211,1.36476,1.36041,0.70367,0.66933,0.72389,0.35396,1.75629,1.27909,1.39252,0.00900776,0.00900776,0.00900776
4,1208.5,1.78946,1.34046,1.38047,0.74701,0.73066,0.7921,0.40913,1.66503,1.14277,1.38413,0.008515,0.008515,0.008515
5,1510.98,1.74359,1.21691,1.34913,0.79623,0.72918,0.82098,0.42969,1.61687,1.05594,1.34929,0.00802,0.00802,0.00802
6,1812.14,1.71053,1.1546,1.31603,0.83792,0.76161,0.8524,0.44688,1.6323,0.9872,1.31867,0.007525,0.007525,0.007525
7,2113.68,1.67993,1.09191,1.30338,0.85615,0.80472,0.88537,0.4867,1.57644,0.88567,1.30298,0.00703,0.00703,0.00703
8,2416.03,1.64946,1.04777,1.28878,0.85665,0.82019,0.89712,0.50434,1.5465,0.85112,1.29038,0.006535,0.006535,0.006535
9,2716.72,1.63605,1.00261,1.2724,0.86303,0.83456,0.91268,0.51087,1.55002,0.80979,1.26939,0.00604,0.00604,0.00604
10,3016.56,1.62002,0.97315,1.26343,0.89295,0.85077,0.92597,0.52559,1.53461,0.76242,1.2609,0.005545,0.005545,0.005545
11,3269.97,1.57686,0.87483,1.28962,0.89364,0.87924,0.93921,0.54282,1.50052,0.73755,1.24536,0.00505,0.00505,0.00505
12,3520.34,1.55898,0.8267,1.27754,0.91215,0.88394,0.94972,0.55353,1.48871,0.69754,1.233,0.004555,0.004555,0.004555
13,3769.02,1.537,0.79085,1.26171,0.91438,0.90116,0.95498,0.56072,1.47699,0.67098,1.22517,0.00406,0.00406,0.00406
14,4017.76,1.52244,0.76641,1.24399,0.91886,0.91378,0.96032,0.57379,1.46099,0.65287,1.20962,0.003565,0.003565,0.003565
15,4266.39,1.50364,0.73634,1.23269,0.93174,0.92036,0.96817,0.58077,1.45297,0.62856,1.2068,0.00307,0.00307,0.00307
16,4514.87,1.48561,0.69922,1.22111,0.94344,0.92184,0.9691,0.58573,1.44643,0.61156,1.20019,0.002575,0.002575,0.002575
17,4763.21,1.47452,0.67486,1.21102,0.94246,0.92938,0.97182,0.58977,1.44191,0.59569,1.19626,0.00208,0.00208,0.00208
18,5012.66,1.44939,0.64825,1.18957,0.94576,0.93994,0.97529,0.59555,1.43649,0.58159,1.18699,0.001585,0.001585,0.001585
19,5262.38,1.43058,0.61857,1.17551,0.94887,0.94326,0.97677,0.59872,1.43061,0.57122,1.18135,0.00109,0.00109,0.00109
20,5513.72,1.41185,0.59518,1.16709,0.94983,0.94768,0.9779,0.60053,1.4282,0.56342,1.1779,0.000595,0.000595,0.000595
