epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.956,1.7465,1.62033,1.37547,0.73376,0.69153,0.75842,0.39891,1.66,1.14215,1.36485,0.00333209,0.00333209,0.00333209
2,1280.09,1.75498,1.27345,1.3506,0.7768,0.68351,0.78148,0.39875,1.67985,1.20612,1.40054,0.00644547,0.00644547,0.00644547
3,1907.54,1.80681,1.36557,1.42287,0.74256,0.6972,0.77104,0.38648,1.70063,1.2795,1.44678,0.00933884,0.00933884,0.00933884
4,2531.27,1.79199,1.31081,1.44842,0.8193,0.74355,0.83326,0.43744,1.64339,1.02868,1.44262,0.00901,0.00901,0.00901
5,3150.72,1.73593,1.17314,1.41382,0.82202,0.78629,0.86871,0.46871,1.58795,0.9618,1.39965,0.00868,0.00868,0.00868
6,3768.58,1.69695,1.09986,1.39298,0.84973,0.78968,0.88448,0.48415,1.57611,0.88298,1.38376,0.00835,0.00835,0.00835
7,4386.55,1.67236,1.04735,1.37345,0.87996,0.82388,0.91188,0.50527,1.55195,0.83285,1.36788,0.00802,0.00802,0.00802
8,5003.99,1.64204,0.99595,1.35982,0.88181,0.8294,0.91728,0.51506,1.51943,0.80122,1.36667,0.00769,0.00769,0.00769
9,5621.39,1.62303,0.97119,1.34888,0.8775,0.85593,0.92596,0.52847,1.49895,0.75713,1.34618,0.00736,0.00736,0.00736
10,6238.75,1.60357,0.92619,1.34288,0.89194,0.8698,0.93564,0.54105,1.49105,0.713,1.34303,0.00703,0.00703,0.00703
11,6855.8,1.58433,0.8906,1.32978,0.89869,0.89879,0.94568,0.5498,1.48718,0.68657,1.34466,0.0067,0.0067,0.0067
12,7476.33,1.57432,0.87018,1.31907,0.9081,0.89057,0.95056,0.56013,1.46917,0.6709,1.32709,0.00637,0.00637,0.00637
13,8095.56,1.55481,0.83997,1.3082,0.91147,0.91046,0.95715,0.56408,1.45913,0.64928,1.31372,0.00604,0.00604,0.00604
14,8714.73,1.54326,0.82462,1.29832,0.92942,0.89941,0.95812,0.57071,1.44926,0.62685,1.31262,0.00571,0.00571,0.00571
15,9336.88,1.53995,0.81388,1.29705,0.92755,0.9152,0.9636,0.57905,1.44023,0.60962,1.30331,0.00538,0.00538,0.00538
16,9957.35,1.52237,0.79292,1.28597,0.9322,0.92207,0.96739,0.58292,1.43236,0.59725,1.30099,0.00505,0.00505,0.00505
17,10574.8,1.50883,0.7677,1.27709,0.93366,0.92999,0.96894,0.58774,1.42494,0.58107,1.29417,0.00472,0.00472,0.00472
18,11192,1.4996,0.75971,1.27393,0.9368,0.93441,0.97054,0.59312,1.41572,0.57109,1.28782,0.00439,0.00439,0.00439
19,11814.6,1.48323,0.73569,1.26598,0.93718,0.93453,0.97097,0.59356,1.41501,0.56458,1.28668,0.00406,0.00406,0.00406
20,12434.5,1.47416,0.72129,1.25903,0.93309,0.93773,0.97206,0.5974,1.41067,0.55654,1.28447,0.00373,0.00373,0.00373
21,13097.3,1.45742,0.63972,1.31477,0.93595,0.94217,0.97468,0.60062,1.40433,0.54854,1.28214,0.0034,0.0034,0.0034
22,13714,1.43641,0.61761,1.30899,0.93954,0.94399,0.9759,0.60381,1.4,0.54028,1.28179,0.00307,0.00307,0.00307
23,14334.9,1.42093,0.59198,1.2935,0.94643,0.94392,0.97878,0.60764,1.39754,0.53466,1.28125,0.00274,0.00274,0.00274
24,14953.8,1.40487,0.57709,1.28609,0.94996,0.94363,0.9795,0.61198,1.39421,0.53031,1.28031,0.00241,0.00241,0.00241
25,15572.3,1.39138,0.55533,1.27493,0.94464,0.95063,0.98076,0.61387,1.39156,0.52506,1.27911,0.00208,0.00208,0.00208
26,16189,1.37438,0.54264,1.26046,0.9448,0.95224,0.98055,0.61451,1.38956,0.52028,1.27816,0.00175,0.00175,0.00175
27,16811,1.35693,0.52727,1.23973,0.94522,0.95373,0.98072,0.61673,1.3867,0.51557,1.27571,0.00142,0.00142,0.00142
28,17430.7,1.34293,0.51294,1.23347,0.9456,0.95434,0.98121,0.61824,1.38399,0.51055,1.27315,0.00109,0.00109,0.00109
29,18054.5,1.32161,0.49715,1.22317,0.94246,0.9596,0.98203,0.6203,1.38199,0.50759,1.2713,0.00076,0.00076,0.00076
30,18671.2,1.30864,0.48587,1.21527,0.94389,0.96072,0.98255,0.62199,1.3804,0.50408,1.26973,0.00043,0.00043,0.00043
