epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.632,1.73065,1.46586,1.36629,0.83046,0.76344,0.8581,0.442,1.62022,1.03526,1.30717,0.00333085,0.00333085,0.00333085
2,668.36,1.71305,1.10506,1.31874,0.82314,0.7631,0.84802,0.43197,1.70432,1.00574,1.36552,0.0065982,0.0065982,0.0065982
3,988.521,1.75805,1.18824,1.35955,0.78187,0.68942,0.78997,0.3652,1.81519,1.15166,1.52035,0.00979956,0.00979956,0.00979956
4,1305.29,1.76048,1.1697,1.39885,0.82581,0.75829,0.8463,0.43452,1.67452,1.0232,1.40201,0.009703,0.009703,0.009703
5,1629.73,1.71089,1.07105,1.37349,0.853,0.78261,0.87282,0.45268,1.67717,0.93057,1.40121,0.009604,0.009604,0.009604
6,1948.25,1.68071,0.99688,1.36453,0.87018,0.80269,0.90094,0.47469,1.62216,0.8933,1.39612,0.009505,0.009505,0.009505
7,2263.87,1.65294,0.9582,1.34948,0.87395,0.84562,0.91825,0.49827,1.60084,0.82142,1.38883,0.009406,0.009406,0.009406
8,2584.42,1.6301,0.92277,1.34326,0.8798,0.85762,0.92932,0.51255,1.57151,0.80299,1.36237,0.009307,0.009307,0.009307
9,2900.05,1.61265,0.8869,1.33125,0.87425,0.84535,0.92283,0.51497,1.55692,0.7768,1.3713,0.009208,0.009208,0.009208
10,3219.41,1.59778,0.86358,1.32232,0.90555,0.87583,0.94069,0.53354,1.52773,0.73393,1.35352,0.009109,0.009109,0.009109
11,3535.04,1.58238,0.84608,1.31228,0.91552,0.87546,0.9437,0.53638,1.52312,0.72887,1.3456,0.00901,0.00901,0.00901
12,3855.68,1.57362,0.82214,1.3082,0.91228,0.89289,0.95178,0.54925,1.50887,0.68735,1.33869,0.008911,0.008911,0.008911
13,4178.13,1.56278,0.81043,1.30627,0.90952,0.88517,0.94686,0.54238,1.51408,0.7097,1.34325,0.008812,0.008812,0.008812
14,4493.63,1.55583,0.79446,1.29409,0.93115,0.90604,0.96077,0.55367,1.50746,0.66539,1.33376,0.008713,0.008713,0.008713
15,4811.78,1.54173,0.77688,1.28224,0.93873,0.92299,0.96635,0.57317,1.47667,0.61535,1.30723,0.008614,0.008614,0.008614
16,5131.71,1.52851,0.76636,1.27974,0.93285,0.93073,0.96733,0.57581,1.47491,0.61151,1.31095,0.008515,0.008515,0.008515
17,5452.16,1.52697,0.75519,1.28073,0.94199,0.92145,0.96709,0.57494,1.47061,0.60942,1.31215,0.008416,0.008416,0.008416
18,5770.3,1.51713,0.73467,1.27262,0.93455,0.92594,0.9718,0.58284,1.46474,0.59359,1.30361,0.008317,0.008317,0.008317
19,6086.29,1.50876,0.7315,1.26755,0.94908,0.93405,0.97511,0.58815,1.45563,0.57141,1.30031,0.008218,0.008218,0.008218
20,6410.79,1.50335,0.7177,1.26688,0.94999,0.93994,0.97618,0.58719,1.45798,0.56645,1.30059,0.008119,0.008119,0.008119
21,6729.7,1.49157,0.70453,1.26411,0.94948,0.94473,0.97761,0.59908,1.43841,0.56038,1.29427,0.00802,0.00802,0.00802
22,7049.57,1.48298,0.70204,1.2501,0.95703,0.94367,0.98088,0.60326,1.42944,0.54596,1.2795,0.007921,0.007921,0.007921
23,7365.02,1.4868,0.69959,1.25994,0.95617,0.95173,0.98137,0.60298,1.42582,0.54399,1.28394,0.007822,0.007822,0.007822
24,7683.2,1.47355,0.68935,1.24932,0.95517,0.95357,0.98192,0.60464,1.42466,0.53222,1.28224,0.007723,0.007723,0.007723
25,8003.4,1.47268,0.68422,1.24687,0.96169,0.95136,0.98104,0.60792,1.42928,0.52557,1.2807,0.007624,0.007624,0.007624
26,8318.8,1.47071,0.67729,1.24748,0.95757,0.9591,0.98244,0.61005,1.41671,0.51869,1.27556,0.007525,0.007525,0.007525
27,8636.68,1.46059,0.6726,1.24007,0.9576,0.9569,0.98255,0.61091,1.41616,0.51476,1.27285,0.007426,0.007426,0.007426
28,8960.98,1.45731,0.66546,1.23947,0.96076,0.96522,0.98624,0.61466,1.41562,0.51175,1.27041,0.007327,0.007327,0.007327
29,9276.74,1.45277,0.65562,1.24023,0.96105,0.96372,0.9861,0.61967,1.41838,0.50021,1.27453,0.007228,0.007228,0.007228
30,9594.43,1.4473,0.65761,1.2355,0.96188,0.96701,0.98696,0.62147,1.40631,0.49779,1.26836,0.007129,0.007129,0.007129
31,9918.07,1.44124,0.64481,1.23129,0.97281,0.96219,0.98706,0.62346,1.40958,0.49513,1.26957,0.00703,0.00703,0.00703
32,10233.9,1.43733,0.64376,1.23303,0.97049,0.9694,0.98836,0.62653,1.4033,0.48632,1.26654,0.006931,0.006931,0.006931
33,10551.4,1.44167,0.64205,1.23359,0.96767,0.972,0.98862,0.62916,1.39576,0.48303,1.26305,0.006832,0.006832,0.006832
34,10866.7,1.42766,0.63647,1.22756,0.96588,0.97089,0.98862,0.63051,1.39172,0.48308,1.26409,0.006733,0.006733,0.006733
35,11186.7,1.42735,0.62818,1.2258,0.9685,0.97015,0.98904,0.63172,1.39108,0.47827,1.26353,0.006634,0.006634,0.006634
36,11511.1,1.42257,0.62563,1.22388,0.96814,0.97531,0.98981,0.63225,1.38966,0.47297,1.26205,0.006535,0.006535,0.006535
37,11826.7,1.42021,0.61969,1.21938,0.967,0.97421,0.98955,0.63449,1.38602,0.47021,1.25819,0.006436,0.006436,0.006436
38,12146.3,1.41483,0.61477,1.21835,0.97196,0.97531,0.99028,0.63594,1.38388,0.46667,1.25682,0.006337,0.006337,0.006337
39,12461.9,1.41074,0.61384,1.20877,0.97335,0.9731,0.99041,0.63602,1.38414,0.46519,1.25391,0.006238,0.006238,0.006238
40,12777.1,1.40119,0.6103,1.20254,0.97164,0.97679,0.99035,0.63636,1.38271,0.46306,1.25133,0.006139,0.006139,0.006139
41,13092.6,1.39767,0.60866,1.20016,0.97074,0.97786,0.99068,0.63707,1.38111,0.46159,1.24923,0.00604,0.00604,0.00604
42,13409,1.39729,0.60193,1.20563,0.97158,0.97458,0.99006,0.63795,1.38103,0.46015,1.24907,0.005941,0.005941,0.005941
43,13733.6,1.39453,0.59974,1.20642,0.97406,0.97273,0.99016,0.63969,1.37878,0.45844,1.24915,0.005842,0.005842,0.005842
44,14057.3,1.38906,0.59344,1.2005,0.97596,0.97212,0.99023,0.64087,1.37699,0.4562,1.24886,0.005743,0.005743,0.005743
45,14372.8,1.38258,0.59064,1.19956,0.97531,0.9731,0.99031,0.64217,1.37498,0.4536,1.24759,0.005644,0.005644,0.005644
46,14693.3,1.37828,0.58952,1.19541,0.97517,0.97347,0.99016,0.64279,1.37309,0.45152,1.24602,0.005545,0.005545,0.005545
47,15010.9,1.37701,0.58628,1.19527,0.97603,0.97525,0.99008,0.64367,1.3724,0.44995,1.24486,0.005446,0.005446,0.005446
48,15326.6,1.37631,0.58111,1.19402,0.97663,0.97458,0.98999,0.64404,1.37156,0.44953,1.24445,0.005347,0.005347,0.005347
49,15642.2,1.36698,0.57614,1.19034,0.97673,0.97421,0.99001,0.64464,1.37099,0.44776,1.24483,0.005248,0.005248,0.005248
50,15960.3,1.35744,0.57158,1.18443,0.97628,0.97494,0.99021,0.64445,1.37092,0.44677,1.24472,0.005149,0.005149,0.005149
51,16283.9,1.35948,0.56828,1.19006,0.97737,0.97568,0.99036,0.64575,1.36984,0.44546,1.24464,0.00505,0.00505,0.00505
52,16599.3,1.35914,0.57069,1.18688,0.97807,0.97568,0.99071,0.64681,1.36862,0.44479,1.24403,0.004951,0.004951,0.004951
53,16918.3,1.35472,0.56516,1.17973,0.97855,0.97472,0.99082,0.64723,1.3684,0.44375,1.24346,0.004852,0.004852,0.004852
54,17233.7,1.34037,0.56014,1.17757,0.97665,0.97716,0.99091,0.64727,1.36808,0.44196,1.24315,0.004753,0.004753,0.004753
55,17549.6,1.34569,0.55866,1.18129,0.97537,0.97746,0.99095,0.64818,1.36735,0.44119,1.24265,0.004654,0.004654,0.004654
56,17867.1,1.33986,0.55419,1.18056,0.97437,0.98047,0.99129,0.64834,1.36658,0.44012,1.24236,0.004555,0.004555,0.004555
57,18187.6,1.33415,0.55227,1.17731,0.97474,0.98096,0.99126,0.64921,1.36562,0.43965,1.24209,0.004456,0.004456,0.004456
58,18507.4,1.33731,0.54831,1.1755,0.97497,0.98195,0.99142,0.64929,1.36483,0.439,1.24172,0.004357,0.004357,0.004357
59,18827.9,1.32776,0.54789,1.17201,0.97413,0.98268,0.99144,0.64979,1.36467,0.43853,1.24174,0.004258,0.004258,0.004258
60,19143.6,1.32901,0.54208,1.16755,0.9744,0.98231,0.9914,0.64991,1.36361,0.43817,1.24097,0.004159,0.004159,0.004159
61,19460.5,1.31739,0.53805,1.1628,0.97436,0.98022,0.99145,0.65034,1.36343,0.43757,1.24081,0.00406,0.00406,0.00406
62,19777.5,1.31667,0.54029,1.16444,0.9747,0.97939,0.9915,0.65074,1.36337,0.43688,1.2406,0.003961,0.003961,0.003961
